Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.223380,0.222222,0.223380,0.064012,0
1962-01-03,0.000000,0.221065,0.219907,0.219907,0.063017,345600
1962-01-04,0.000000,0.221065,0.217593,0.217593,0.062354,216000
1962-01-05,0.000000,0.215856,0.214120,0.214120,0.061359,129600
1962-01-08,0.000000,0.212384,0.210648,0.210648,0.060364,172800
1962-01-09,0.000000,0.212963,0.212963,0.212963,0.061027,43200
1962-01-10,0.000000,0.217593,0.214699,0.217593,0.062354,172800
1962-01-11,0.000000,0.217593,0.216435,0.216435,0.062022,172800
1962-01-12,0.000000,0.217593,0.214120,0.214120,0.061359,259200
1962-01-15,0.000000,0.215856,0.214120,0.214120,0.061359,129600
1962-01-16,0.000000,0.215856,0.212963,0.212963,0.061027,345600
1962-01-17,0.000000,0.215278,0.212963,0.214120,0.061359,259200
1962-01-18,0.000000,0.212963,0.212384,0.212384,0.060861,172800
1962-01-19,0.000000,0.214699,0.213542,0.214699,0.061525,129600
1962-01-22,0.000000,0.212963,0.212384,0.212384,0.060861,172800
1962-01-23,0.000000,0.212963,0.210648,0.210648,0.060364,259200
1962-01-24,0.000000,0.210648,0.209491,0.210069,0.060198,302400
1962-01-25,0.000000,0.210648,0.208912,0.209491,0.060032,129600
1962-01-26,0.000000,0.210648,0.208912,0.208912,0.059866,561600
1962-01-29,0.000000,0.211806,0.209491,0.211806,0.060696,216000
1962-01-30,0.000000,0.214699,0.210648,0.210648,0.060364,734400
1962-01-31,0.000000,0.215278,0.212384,0.215278,0.061690,345600
1962-02-01,0.000000,0.217014,0.214699,0.217014,0.062188,388800
1962-02-02,0.000000,0.228009,0.217593,0.227431,0.065173,2160000
1962-02-05,0.000000,0.240741,0.233796,0.237269,0.067992,1944000
1962-02-06,0.000000,0.248264,0.239583,0.247685,0.070977,2289600
1962-02-07,0.000000,0.259259,0.250000,0.250000,0.071641,3369600
1962-02-08,0.000000,0.253472,0.245949,0.247106,0.070811,1382400
1962-02-09,0.000000,0.247106,0.241898,0.246528,0.070646,777600
1962-02-12,0.000000,0.244213,0.243056,0.244213,0.069982,216000
1962-02-13,0.000000,0.244213,0.241319,0.241898,0.069484,734400
1962-02-14,0.000000,0.240741,0.233796,0.234954,0.067489,1080000
1962-02-15,0.000000,0.234954,0.232639,0.234954,0.067489,302400
1962-02-16,0.000000,0.234954,0.233218,0.233796,0.067156,172800
1962-02-19,0.000000,0.232060,0.232060,0.232060,0.066658,43200
1962-02-20,0.000000,0.229745,0.228009,0.228009,0.065494,86400
1962-02-21,0.000000,0.229167,0.222222,0.222222,0.063832,604800
1962-02-23,0.000000,0.221065,0.219907,0.219907,0.063167,432000
1962-02-26,0.000000,0.224537,0.221065,0.224537,0.064497,259200
1962-02-27,0.000000,0.227431,0.223380,0.227431,0.065328,302400
1962-02-28,0.000000,0.230324,0.224537,0.224537,0.064497,475200
1962-03-01,0.000000,0.226852,0.224537,0.225116,0.064663,259200
1962-03-02,0.000000,0.223958,0.223380,0.223958,0.064330,345600
1962-03-05,0.000000,0.225694,0.224537,0.224537,0.064497,216000
1962-03-06,0.000000,0.227431,0.226273,0.227431,0.065328,86400
1962-03-07,0.000000,0.229167,0.226852,0.228009,0.065494,475200
1962-03-08,0.000000,0.230324,0.229167,0.229167,0.065827,172800
1962-03-09,0.000000,0.228009,0.228009,0.228009,0.065494,43200
1962-03-12,0.000000,0.230903,0.229745,0.230324,0.066159,129600
1962-03-13,0.000000,0.237847,0.231481,0.237847,0.068320,345600
1962-03-14,0.000000,0.244213,0.240741,0.241898,0.069484,864000
1962-03-15,0.000000,0.244792,0.240741,0.243634,0.069982,518400
1962-03-16,0.000000,0.243056,0.237847,0.237847,0.068320,345600
1962-03-19,0.000000,0.238426,0.237269,0.237269,0.068154,86400
1962-03-20,0.000000,0.238426,0.236111,0.237269,0.068154,388800
1962-03-21,0.000000,0.237269,0.236111,0.236111,0.067821,86400
1962-03-22,0.000000,0.235532,0.235532,0.235532,0.067655,129600
1962-03-23,0.000000,0.236111,0.233218,0.233218,0.066990,259200
1962-03-26,0.000000,0.233796,0.230903,0.233796,0.067156,259200
1962-03-27,0.000000,0.232060,0.230324,0.230324,0.066159,86400
1962-03-28,0.000000,0.229167,0.229167,0.229167,0.065827,43200
1962-03-29,0.000000,0.229167,0.229167,0.229167,0.065827,43200
1962-03-30,0.000000,0.230324,0.223958,0.223958,0.064330,432000
1962-04-02,0.000000,0.222801,0.222801,0.222801,0.063998,43200
1962-04-03,0.000000,0.223958,0.222222,0.223958,0.064330,86400
1962-04-04,0.000000,0.223380,0.223380,0.223380,0.064164,172800
1962-04-05,0.000000,0.224537,0.224537,0.224537,0.064497,86400
1962-04-06,0.000000,0.226273,0.222801,0.222801,0.063998,216000
1962-04-09,0.000000,0.222222,0.222222,0.222222,0.063832,86400
1962-04-10,0.000000,0.222512,0.219907,0.219907,0.063167,345600
1962-04-11,0.000000,0.223380,0.221065,0.221065,0.063499,216000
1962-04-12,0.000000,0.218750,0.215278,0.215278,0.061837,302400
1962-04-13,0.000000,0.220486,0.215278,0.219329,0.063001,259200
1962-04-16,0.000000,0.218750,0.218750,0.218750,0.062834,43200
1962-04-17,0.000000,0.218750,0.217593,0.218750,0.062834,0
1962-04-18,0.000000,0.217593,0.217593,0.217593,0.062502,43200
1962-04-19,0.000000,0.218750,0.217593,0.218750,0.062834,172800
1962-04-23,0.000000,0.218171,0.217593,0.218171,0.062668,86400
1962-04-24,0.000000,0.216435,0.215278,0.215278,0.061837,129600
1962-04-25,0.000000,0.216435,0.214699,0.214699,0.061671,388800
1962-04-26,0.000000,0.214120,0.210648,0.210648,0.060507,302400
1962-04-27,0.000000,0.211806,0.207176,0.207176,0.059510,172800
1962-04-30,0.000000,0.208333,0.199074,0.199074,0.057183,432000
1962-05-01,0.000000,0.207176,0.199653,0.207176,0.059510,475200
1962-05-02,0.000000,0.210069,0.207755,0.208912,0.060009,475200
1962-05-03,0.000000,0.210069,0.210069,0.210069,0.060341,129600
1962-05-04,0.000000,0.212384,0.211227,0.212384,0.061006,345600
1962-05-07,0.000000,0.213542,0.211806,0.212963,0.061172,129600
1962-05-08,0.000000,0.214120,0.211227,0.211227,0.060674,259200
1962-05-09,0.000000,0.210069,0.210069,0.210069,0.060341,43200
1962-05-10,0.000000,0.206597,0.203704,0.205440,0.059011,259200
1962-05-11,0.000000,0.206597,0.203704,0.203704,0.058513,259200
1962-05-14,0.000000,0.204861,0.201968,0.204861,0.058845,518400
1962-05-15,0.000000,0.210648,0.207755,0.207755,0.059676,302400
1962-05-16,0.000000,0.207176,0.207176,0.207176,0.059510,43200
1962-05-17,0.000000,0.210648,0.208333,0.208333,0.059842,216000
1962-05-18,0.000000,0.207755,0.204861,0.204861,0.058845,259200
1962-05-21,0.000000,0.203704,0.202546,0.202546,0.058180,259200
1962-05-22,0.000000,0.204861,0.200231,0.200231,0.057680,432000
1962-05-23,0.000000,0.199653,0.194444,0.194444,0.056013,950400
1962-05-24,0.000000,0.194734,0.190394,0.192419,0.055430,1252800
1962-05-25,0.000000,0.192130,0.178241,0.180556,0.052012,907200
1962-05-28,0.000000,0.178819,0.164931,0.164931,0.047511,734400
1962-05-29,0.000000,0.174190,0.159722,0.173611,0.050011,1728000
1962-05-31,0.000000,0.185185,0.182870,0.182870,0.052679,1209600
1962-06-01,0.000000,0.185185,0.180556,0.185185,0.053346,648000
1962-06-04,0.000000,0.182870,0.175926,0.178241,0.051345,388800
1962-06-05,0.000000,0.177083,0.173611,0.173900,0.050095,777600
1962-06-06,0.000000,0.176505,0.173611,0.176505,0.050845,388800
1962-06-07,0.000000,0.178241,0.174769,0.177083,0.051012,259200
1962-06-08,0.000000,0.179398,0.177083,0.177662,0.051178,259200
1962-06-11,0.000000,0.178241,0.176505,0.176505,0.050845,172800
1962-06-12,0.000000,0.173611,0.165509,0.165509,0.047678,432000
1962-06-13,0.000000,0.167824,0.159722,0.159722,0.046011,864000
1962-06-14,0.000000,0.159144,0.151042,0.152199,0.043843,1036800
1962-06-15,0.000000,0.168981,0.152199,0.168981,0.048678,1468800
1962-06-18,0.000000,0.171296,0.164931,0.165509,0.047678,734400
1962-06-19,0.000000,0.163194,0.162037,0.162037,0.046677,172800
1962-06-20,0.000000,0.168981,0.160880,0.166667,0.048011,388800
1962-06-21,0.000000,0.163194,0.158565,0.159722,0.046011,604800
1962-06-22,0.000000,0.163194,0.160301,0.160590,0.046261,950400
1962-06-25,0.000000,0.165509,0.159144,0.165509,0.047678,1382400
1962-06-26,0.000000,0.170139,0.164931,0.164931,0.047511,734400
1962-06-27,0.000000,0.165509,0.162037,0.162037,0.046677,648000
1962-06-28,0.000000,0.170139,0.162037,0.170139,0.049011,864000
1962-06-29,0.000000,0.182292,0.174190,0.179688,0.051762,734400
1962-07-02,0.000000,0.182292,0.176505,0.182292,0.052512,7387200
1962-07-03,0.000000,0.181713,0.178241,0.181713,0.052345,604800
1962-07-05,0.000000,0.182292,0.179398,0.182292,0.052512,259200
1962-07-06,0.000000,0.180556,0.174769,0.174769,0.050345,302400
1962-07-09,0.000000,0.177083,0.177083,0.177083,0.051012,43200
1962-07-10,0.000000,0.184028,0.178241,0.178241,0.051345,993600
1962-07-11,0.000000,0.175926,0.172454,0.174190,0.050178,820800
1962-07-12,0.000000,0.181134,0.175926,0.178819,0.051512,561600
1962-07-13,0.000000,0.181134,0.175926,0.181134,0.052179,432000
1962-07-16,0.000000,0.178819,0.177662,0.177662,0.051178,259200
1962-07-17,0.000000,0.177662,0.177662,0.177662,0.051178,129600
1962-07-18,0.000000,0.175347,0.174190,0.174190,0.050178,172800
1962-07-19,0.000000,0.173611,0.172454,0.172454,0.049678,86400
1962-07-20,0.000000,0.173032,0.172454,0.172454,0.049678,216000
1962-07-23,0.000000,0.173032,0.170718,0.170718,0.049178,172800
1962-07-24,0.000000,0.170139,0.163194,0.163194,0.047011,561600
1962-07-25,0.000000,0.172454,0.164352,0.164352,0.047344,172800
1962-07-26,0.000000,0.169560,0.166088,0.169560,0.048845,345600
1962-07-27,0.000000,0.170139,0.168981,0.169560,0.048845,518400
1962-07-30,0.000000,0.168981,0.167824,0.168981,0.048678,129600
1962-07-31,0.000000,0.172743,0.171296,0.172743,0.049761,388800
1962-08-01,0.000000,0.174190,0.172454,0.172454,0.049678,518400
1962-08-02,0.000000,0.173611,0.172454,0.172454,0.049678,86400
1962-08-03,0.000000,0.171875,0.165509,0.165509,0.047678,475200
1962-08-06,0.000000,0.164352,0.162037,0.164352,0.047344,388800
1962-08-07,0.000000,0.162616,0.162037,0.162616,0.046844,129600
1962-08-08,0.000000,0.170139,0.164931,0.168981,0.048678,604800
1962-08-09,0.000000,0.170718,0.168981,0.168981,0.048678,259200
1962-08-10,0.000000,0.173611,0.168981,0.170139,0.049011,1036800
1962-08-13,0.000000,0.170718,0.168981,0.168981,0.048678,172800
1962-08-14,0.000000,0.168981,0.167245,0.167245,0.048178,172800
1962-08-15,0.000000,0.170139,0.168981,0.170139,0.049011,86400
1962-08-16,0.000000,0.168981,0.168692,0.168981,0.048678,129600
1962-08-17,0.000000,0.169560,0.168981,0.169560,0.048845,86400
1962-08-20,0.000000,0.170139,0.168403,0.168403,0.048511,259200
1962-08-21,0.000000,0.168981,0.166667,0.166667,0.048177,129600
1962-08-22,0.000000,0.169560,0.166088,0.169560,0.049013,302400
1962-08-23,0.000000,0.168981,0.167245,0.168981,0.048846,216000
1962-08-24,0.000000,0.168403,0.167245,0.167245,0.048344,129600
1962-08-27,0.000000,0.166667,0.163194,0.163194,0.047173,518400
1962-08-28,0.000000,0.162616,0.162037,0.162616,0.047006,172800
1962-08-29,0.000000,0.162326,0.162326,0.162326,0.046922,43200
1962-08-30,0.000000,0.163773,0.162326,0.162326,0.046922,259200
1962-08-31,0.000000,0.163773,0.163194,0.163773,0.047340,86400
1962-09-04,0.000000,0.166667,0.163773,0.164352,0.047508,432000
1962-09-05,0.000000,0.163773,0.162037,0.162037,0.046839,388800
1962-09-06,0.000000,0.163773,0.162326,0.163773,0.047340,129600
1962-09-07,0.000000,0.163773,0.163194,0.163773,0.047340,172800
1962-09-10,0.000000,0.164352,0.160301,0.164352,0.047508,518400
1962-09-11,0.000000,0.162616,0.162037,0.162037,0.046839,216000
1962-09-12,0.000000,0.164931,0.162037,0.164931,0.047675,604800
1962-09-13,0.000000,0.163194,0.163194,0.163194,0.047173,43200
1962-09-14,0.000000,0.164352,0.163194,0.163194,0.047173,216000
1962-09-17,0.000000,0.162616,0.162037,0.162326,0.046922,475200
1962-09-18,0.000000,0.163194,0.162037,0.163194,0.047173,129600
1962-09-19,0.000000,0.166088,0.162037,0.166088,0.048009,388800
1962-09-20,0.000000,0.166088,0.164352,0.166088,0.048009,172800
1962-09-21,0.000000,0.165509,0.164352,0.164352,0.047508,432000
1962-09-24,0.000000,0.164063,0.162037,0.162326,0.046922,388800
1962-09-25,0.000000,0.162616,0.160880,0.162616,0.047006,216000
1962-09-26,0.000000,0.160880,0.160012,0.160012,0.046253,129600
1962-09-27,0.000000,0.159722,0.157407,0.157407,0.045500,302400
1962-09-28,0.000000,0.159144,0.157407,0.159144,0.046002,0
1962-10-01,0.000000,0.157407,0.157407,0.157407,0.045500,259200
1962-10-02,0.000000,0.157986,0.157986,0.157986,0.045667,129600
1962-10-03,0.000000,0.158565,0.158565,0.158565,0.045835,43200
1962-10-04,0.000000,0.159722,0.158565,0.159144,0.046002,129600
1962-10-05,0.000000,0.160590,0.157986,0.157986,0.045667,172800
1962-10-08,0.000000,0.158565,0.158565,0.158565,0.045835,43200
1962-10-09,0.000000,0.160590,0.157986,0.160590,0.046420,216000
1962-10-10,0.000000,0.160880,0.159722,0.159722,0.046169,129600
1962-10-11,0.000000,0.159144,0.157407,0.157407,0.045500,345600
1962-10-12,0.000000,0.158565,0.157697,0.158565,0.045835,129600
1962-10-15,0.000000,0.158565,0.158565,0.158565,0.045835,0
1962-10-16,0.000000,0.159722,0.158565,0.159144,0.046002,475200
1962-10-17,0.000000,0.159144,0.158565,0.158565,0.045835,216000
1962-10-18,0.000000,0.157986,0.157986,0.157986,0.045667,129600
1962-10-19,0.000000,0.157407,0.152199,0.152778,0.044162,777600
1962-10-22,0.000000,0.150463,0.148148,0.149884,0.043326,388800
1962-10-23,0.000000,0.148727,0.142361,0.142361,0.041151,604800
1962-10-24,0.000000,0.148148,0.142361,0.148148,0.042824,259200
1962-10-25,0.000000,0.146991,0.146412,0.146991,0.042489,86400
1962-10-26,0.000000,0.148148,0.148148,0.148148,0.042824,172800
1962-10-29,0.000000,0.152778,0.151620,0.152778,0.044162,302400
1962-10-30,0.000000,0.157697,0.154514,0.157697,0.045584,216000
1962-10-31,0.000000,0.160301,0.157407,0.157407,0.045500,518400
1962-11-01,0.000000,0.157407,0.155093,0.157407,0.045500,172800
1962-11-02,0.000000,0.159722,0.158565,0.159722,0.046169,518400
1962-11-05,0.000000,0.160880,0.158565,0.158565,0.045835,216000
1962-11-07,0.000000,0.159722,0.156250,0.156250,0.045166,388800
1962-11-08,0.000000,0.160301,0.156250,0.160301,0.046337,691200
1962-11-09,0.000000,0.161458,0.161458,0.161458,0.046671,43200
1962-11-12,0.000000,0.163194,0.162037,0.163194,0.047173,475200
1962-11-13,0.000000,0.167245,0.164352,0.164352,0.047508,1209600
1962-11-14,0.000000,0.164352,0.164352,0.164352,0.047508,691200
1962-11-15,0.000000,0.163194,0.160880,0.160880,0.046504,388800
1962-11-16,0.000000,0.160012,0.158565,0.160012,0.046253,302400
1962-11-19,0.000000,0.160590,0.160301,0.160590,0.046420,216000
1962-11-20,0.000000,0.160880,0.160880,0.160880,0.046504,129600
1962-11-21,0.000000,0.161748,0.159144,0.161748,0.046924,475200
1962-11-23,0.000000,0.163773,0.160012,0.162616,0.047176,345600
1962-11-26,0.000000,0.167245,0.163194,0.166667,0.048351,1252800
1962-11-27,0.000000,0.168981,0.167824,0.168981,0.049022,691200
1962-11-28,0.000000,0.175347,0.168403,0.174190,0.050533,907200
1962-11-29,0.000000,0.174769,0.171875,0.173611,0.050365,561600
1962-11-30,0.000000,0.173611,0.171875,0.173611,0.050365,864000
1962-12-03,0.000000,0.173032,0.170718,0.170718,0.049526,432000
1962-12-04,0.000000,0.172454,0.170718,0.171875,0.049862,216000
1962-12-05,0.000000,0.174479,0.171875,0.171875,0.049862,475200
1962-12-06,0.000000,0.173032,0.171296,0.172454,0.050030,388800
1962-12-07,0.000000,0.174769,0.171875,0.174769,0.050701,388800
1962-12-10,0.000000,0.175347,0.172454,0.172454,0.050030,302400
1962-12-11,0.000000,0.171296,0.171296,0.171296,0.049694,302400
1962-12-12,0.000000,0.173611,0.172454,0.173032,0.050197,518400
1962-12-13,0.000000,0.171875,0.171296,0.171296,0.049694,432000
1962-12-14,0.000000,0.173611,0.171296,0.173611,0.050365,561600
1962-12-17,0.000000,0.173611,0.171296,0.171296,0.049694,561600
1962-12-18,0.000000,0.171296,0.169560,0.170718,0.049526,691200
1962-12-19,0.000000,0.173611,0.169560,0.173611,0.050365,518400
1962-12-20,0.000000,0.173322,0.171875,0.173322,0.050281,216000
1962-12-21,0.000000,0.173611,0.171296,0.171296,0.049694,259200
1962-12-24,0.000000,0.171875,0.171296,0.171875,0.049862,259200
